model,config,f1_macro_mean,f1_macro_std,f1_0_mean,f1_0_std,f1_1_mean,f1_1_std,precision_1_mean,precision_1_std,recall_1_mean,recall_1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,f1_macro_train_mean,f1_macro_train_std,overfitting_gap,f1_macro_ci_low,f1_macro_ci_high,roc_auc_ci_low,roc_auc_ci_high
LogReg,A,0.7730248835222745,0.012496964193775054,0.8385432797528738,0.008208034719067845,0.7075064872916752,0.01689422525064366,0.8250061013138948,0.016039584468079682,0.6193987996959928,0.018187201517444948,0.8467279060455578,0.01250179574782334,0.5647867902346116,0.02413512721799861,0.8663529937397166,0.0031977086898617503,0.09332811021744214,0.7634376353160449,0.7831334109912947,0.8376870122557389,0.8570497007354303
LogReg,B,0.7726654945076493,0.01381362148153347,0.8396096483247442,0.008856579799162325,0.7057213406905545,0.018828934468598672,0.8318767419160942,0.0162872518426273,0.6128862331944335,0.020438284022825822,0.845367523888946,0.012144901728616406,0.5663903310475024,0.02632118382958997,0.8741845644085313,0.0033648660205671593,0.101519069900882,0.7627980286699411,0.7826278424721059,0.8361431140997597,0.8555328994674146
LogReg,C,0.7745702618017809,0.010399302076301865,0.8374072825222102,0.007010963762144537,0.7117332410813517,0.013893615520994622,0.8151203242273638,0.013840793058463275,0.6316986398301754,0.015155902503313372,0.8489903355976429,0.012172404921405039,0.5642478591715164,0.020291170984852117,0.8583424747422324,0.002350483202337312,0.08377221294045145,0.7649719617958531,0.7846781060145743,0.8401451614617532,0.8593238524148468
LogReg,D,0.7506082247342629,0.013591227894802889,0.8096304002620869,0.010845785225082023,0.6915860492064392,0.01669915486800386,0.739809607740424,0.019971324784519448,0.6494260555075084,0.017071794594047892,0.813408706539471,0.009842812183227903,0.5054162584059044,0.027398831297031703,0.7617454269259113,0.003922292362540805,0.011137202191648377,0.7409049985854932,0.7618773801682545,0.8046599836340488,0.8252453290258788
LogReg_balanced,A,0.77758210077443,0.009760889444037656,0.8228092457597954,0.0063915032899388964,0.7323549557890644,0.013377936186271816,0.7473319693489258,0.008889201027849649,0.7181690122389076,0.020155753991858035,0.8464364937892043,0.012291111217565258,0.5557312953688637,0.019068501109936815,0.8860052989103899,0.00319691617085624,0.10842319813595991,0.768298862051357,0.7879763879286662,0.8372571083776192,0.8566723709034241
LogReg_balanced,B,0.77714436829235,0.010515814820812118,0.8224081415299243,0.007575727253645201,0.731880595054776,0.01380399963402863,0.7467333194171253,0.011761687129449852,0.7178066933983279,0.01935434700163128,0.8449471531209924,0.012128345643813406,0.5548468695925239,0.02074149290597436,0.8925314257784823,0.0031717460575559553,0.11538705748613232,0.7669253144801187,0.7878248334312147,0.8356723410902954,0.8551975896113849
LogReg_balanced,C,0.7774855289467213,0.006933811975532534,0.8207716484216551,0.0057339466439131175,0.7341994094717873,0.008429257321927718,0.7410506028986248,0.009818318991420317,0.7275703016484525,0.010785320289130405,0.8487478598291511,0.012208121743853747,0.555132974870153,0.013841561423228248,0.8764894239176005,0.0025506677558697825,0.09900389497087925,0.7682350675819549,0.7876296487890808,0.8398450349088008,0.8588747479039417
LogReg_balanced,D,0.7395930407560115,0.012443706182680876,0.7782097477560812,0.01106235037055145,0.7009763337559419,0.014113864034043227,0.6705072201369913,0.014727943364750912,0.7344484629294756,0.015773884654280566,0.8131876116981335,0.009533626421499927,0.4815788182434336,0.024794180999027346,0.7533770851986382,0.0025231008810270195,0.013784044442626708,0.7291628707569316,0.7510061535659353,0.804336522629836,0.8251046330993014
MultinomialNB,A,0.7780832687512269,0.011856056602202097,0.8406978732353572,0.006684169218335776,0.7154686642670967,0.017084116930042418,0.8240001567444841,0.00894186951090181,0.6324245878868884,0.022447239975418636,0.8439137950903428,0.008863708207584288,0.5725378895895343,0.021013698463535853,0.8639021474740851,0.0034086188787423913,0.0858188787228582,0.7687880630077065,0.7885830211141792,0.8355116977605833,0.854721472717207
MultinomialNB,B,0.774283627532854,0.013614387776680103,0.8441279770545428,0.007511712360184459,0.7044392780111651,0.019766995769068294,0.8551871004046733,0.010737449136486395,0.5991436695757004,0.024577536800499854,0.8426937874394212,0.009559485809407776,0.5765862644116765,0.02357943232580271,0.8612727659185275,0.0038473533350189336,0.08698913838567357,0.764632118014106,0.7840553191416317,0.8342035847384787,0.8529872986775285
