word,coefficient,abs_coef
hiroshima,3.625836359769536,3.625836359769536
fire,3.361616859486566,3.361616859486566
wildfir,3.095383829538591,3.095383829538591
storm,3.0266226077079903,3.0266226077079903
flood,2.98204948975754,2.98204948975754
california,2.905312867911203,2.905312867911203
evacu,2.706111241612815,2.706111241612815
kill,2.6968981342044507,2.6968981342044507
train,2.5836935510301977,2.5836935510301977
earthquak,2.546908026573493,2.546908026573493
polic,2.331716112959492,2.331716112959492
typhoon,2.312403347121793,2.312403347121793
suicid,2.3109499554106425,2.3109499554106425
derail,2.2429678075229185,2.2429678075229185
massacr,2.2179446992866882,2.2179446992866882
near,2.199429344209991,2.199429344209991
drought,2.0703841137732333,2.0703841137732333
japan,2.026929870794597,2.026929870794597
mhnum,2.0225267295930434,2.0225267295930434
riot,2.009313720164701,2.009313720164701
murder,2.000334710456712,2.000334710456712
sever,1.980574368897925,1.980574368897925
tornado,1.9751653130317013,1.9751653130317013
migrant,1.9488805892478787,1.9488805892478787
spill,1.9436853751221115,1.9436853751221115
debri,1.9325722365660023,1.9325722365660023
forest,1.879575947220752,1.879575947220752
terror,1.8679997208309886,1.8679997208309886
build,1.8525866851557753,1.8525866851557753
hailstorm,1.8190245599832997,1.8190245599832997
casualti,1.813194684822172,1.813194684822172
area,1.7951432555797986,1.7951432555797986
nuclear,1.7754717330889191,1.7754717330889191
explos,1.7726659107743052,1.7726659107743052
report,1.7671767729147105,1.7671767729147105
bridg,1.747028776029973,1.747028776029973
war,1.7425797458403187,1.7425797458403187
car,1.7281981551747405,1.7281981551747405
bomb,1.7228927336754938,1.7228927336754938
crash,1.7203222461760133,1.7203222461760133
bioterror,1.7077020733298893,1.7077020733298893
news,1.6495996091008176,1.6495996091008176
home,1.6442102432911052,1.6442102432911052
calgari,1.6366419903585205,1.6366419903585205
disast,1.6188698630771607,1.6188698630771607
east,1.614619705481523,1.614619705481523
shot,1.6082975769813068,1.6082975769813068
confirm,1.5935577071954496,1.5935577071954496
hurrican,1.5795170636471605,1.5795170636471605
outbreak,1.5746930145013327,1.5746930145013327
mass,1.534821617320241,1.534821617320241
case,1.5345255082037277,1.5345255082037277
num,1.5333053278091004,1.5333053278091004
warn,1.5320462596549276,1.5320462596549276
refuge,1.5306846591336136,1.5306846591336136
land,1.515802650020527,1.515802650020527
found,1.5146921865375889,1.5146921865375889
atom,1.5105920972003335,1.5105920972003335
wild,1.50381897383227,1.50381897383227
issu,1.4922150531607248,1.4922150531607248
victim,1.4790613193328082,1.4790613193328082
suspect,1.4555927178725636,1.4555927178725636
citi,1.451041174258592,1.451041174258592
airplan,1.448703775886814,1.448703775886814
death,1.4483765198386773,1.4483765198386773
legionnair,1.4374887544446968,1.4374887544446968
plane,1.4155585486912208,1.4155585486912208
scene,1.4091555900234924,1.4091555900234924
terrorist,1.4089193349590616,1.4089193349590616
weather,1.397729855627196,1.397729855627196
heat,1.3913129773685873,1.3913129773685873
collaps,1.3814410769464316,1.3814410769464316
myanmar,1.379694633956809,1.379694633956809
collis,1.3744397379071307,1.3744397379071307
ebola,1.3647322364623746,1.3647322364623746
villag,1.3536797996501555,1.3536797996501555
bomber,1.316587864051847,1.316587864051847
civilian,1.3129608872125262,1.3129608872125262
palestinian,1.29294600407791,1.29294600407791
thunderstorm,1.2912323849955765,1.2912323849955765
damag,1.277707888185502,1.277707888185502
heavi,1.2762847697099597,1.2762847697099597
isra,1.274647807781882,1.274647807781882
pakistan,1.2721623492761975,1.2721623492761975
incid,1.2676021925271483,1.2676021925271483
distanc,1.2552327720733465,1.2552327720733465
crisi,1.2483388742696364,1.2483388742696364
accid,1.2405639712995422,1.2405639712995422
counti,1.2374608743294804,1.2374608743294804
survivor,1.2339985437203131,1.2339985437203131
sinkhol,1.2274482656047776,1.2274482656047776
awar,1.2159571601746455,1.2159571601746455
soudelor,1.210885096540494,1.210885096540494
crew,1.2004626768283775,1.2004626768283775
shoot,1.1946407546081084,1.1946407546081084
volcano,1.192600272691359,1.192600272691359
peac,1.189193388963339,1.189193388963339
dust,1.1833185935473647,1.1833185935473647
south,1.1636281499206873,1.1636281499206873
west,1.1631066212047962,1.1631066212047962
continu,1.1576948504623505,1.1576948504623505
theater,1.1566487920901298,1.1566487920901298
